CAT rev 39 GST 13

### DA TOP-LEVEL ENTRIES
da22-warblade | Calibanite Warblade | cats= [] | hidden= false
da22-greatsword | Terranic Greatsword | cats= [] | hidden= false
da22-plasma-pistol | Calibanite Plasma Pistol | cats= [] | hidden= false
da22-plasma-gun | Calibanite Plasma Gun | cats= [] | hidden= false
da22-plasma-cannon | Calibanite Plasma Cannon | cats= [] | hidden= false
da22-plasma-repeater | Plasma Repeater | cats= [] | hidden= false
da22-plasma-burner | Plasma Burner | cats= [] | hidden= false
da22-stasis-missile | Stasis Shell — Missile | cats= [] | hidden= false
da22-stasis-grenade | Stasis Shell — Grenade | cats= [] | hidden= false
da22-acid-hb | Molecular Acid Heavy Bolter | cats= [] | hidden= false
da22-transponders | Teleportation Transponders | cats= [] | hidden= false
da22-plasma-caster | Plasma-caster | cats= [] | hidden= false
da22-plasma-incinerator | Plasma Incinerator with Suspensor Web | cats= [] | hidden= false
da22-needle-pistol | Needle Pistol | cats= [] | hidden= false
da22-charge-blade | Calibanite Charge-blade | cats= [] | hidden= false
da22-deathwing-companions | Deathwing Companion Detachment | cats= [('Elites', 'cat-elites')] | hidden= false
da22-deathwing-term-comp | Deathwing Terminator Companion Detachment | cats= [('Elites', 'cat-elites')] | hidden= false
da22-cenobium | Inner Circle Knights Cenobium | cats= [('Elites', 'cat-elites')] | hidden= false
da22-interemptors | Dreadwing Interemptor Squad | cats= [('Elites', 'cat-elites')] | hidden= false
da22-enigmatus | Firewing Enigmatus Cabal | cats= [('Elites', 'cat-elites')] | hidden= false
da22-corswain | Corswain, Seneschal of the First Legion | cats= [('HQ', 'cat-hq')] | hidden= false
da22-sedras | Marduk Sedras, Lord of the Twenty-Third Order | cats= [('HQ', 'cat-hq')] | hidden= false
da22-redloss | Farith Redloss | cats= [('HQ', 'cat-hq')] | hidden= false
da22-holguin | Holguin | cats= [('HQ', 'cat-hq')] | hidden= false
da22-lion | Lion El'Jonson, The First | cats= [('Lords of War', 'cat-low')] | hidden= false

### ALL DA UNIQUE UNIT / CHARACTER CATEGORY LINKS
da22-deathwing-companions | Deathwing Companion Detachment | cats= [('Elites', 'cat-elites')] | selectionEntry:da22-deathwing-companions:Deathwing Companion Detachment
da22-dwc-extra | Additional Deathwing Companion | cats= [] | selectionEntry:da22-deathwing-companions:Deathwing Companion Detachment > selectionEntryGroup:da22-dwc-extra-g:Squad Size > selectionEntry:da22-dwc-extra:Additional Deathwing Companion
da22-deathwing-term-comp | Deathwing Terminator Companion Detachment | cats= [('Elites', 'cat-elites')] | selectionEntry:da22-deathwing-term-comp:Deathwing Terminator Companion Detachment
da22-cenobium | Inner Circle Knights Cenobium | cats= [('Elites', 'cat-elites')] | selectionEntry:da22-cenobium:Inner Circle Knights Cenobium
da22-interemptors | Dreadwing Interemptor Squad | cats= [('Elites', 'cat-elites')] | selectionEntry:da22-interemptors:Dreadwing Interemptor Squad
da22-enigmatus | Firewing Enigmatus Cabal | cats= [('Elites', 'cat-elites')] | selectionEntry:da22-enigmatus:Firewing Enigmatus Cabal
da22-corswain | Corswain, Seneschal of the First Legion | cats= [('HQ', 'cat-hq')] | selectionEntry:da22-corswain:Corswain, Seneschal of the First Legion
da22-sedras | Marduk Sedras, Lord of the Twenty-Third Order | cats= [('HQ', 'cat-hq')] | selectionEntry:da22-sedras:Marduk Sedras, Lord of the Twenty-Third Order
da22-redloss | Farith Redloss | cats= [('HQ', 'cat-hq')] | selectionEntry:da22-redloss:Farith Redloss
da22-holguin | Holguin | cats= [('HQ', 'cat-hq')] | selectionEntry:da22-holguin:Holguin
da22-lion | Lion El'Jonson, The First | cats= [('Lords of War', 'cat-low')] | selectionEntry:da22-lion:Lion El'Jonson, The First

### DARK ANGELS RITES
da22-rite-storm | Dark Angels Rite of War — The Storm of War | selectionEntry:config-army:Army Configuration > selectionEntryGroup:config-rites:Rite of War (optional) > selectionEntry:da22-rite-storm:Dark Angels Rite of War — The Storm of War
 RULE The Storm of War : Effects: A 20-model Legion Tactical or Assault Squad may include one Legion Centurion at normal cost; he occupies no HQ slot, becomes part of the squad, may not leave, take a Consul upgrade or be Warlord, and must be Stormwing. Stationary Stormwing units gain their Stormwing re-roll during normal Shooting as well as First Fire/Overwatch. A Stormwing Infantry unit containing a Stormwing Character is Stubborn. Limitations: Warlord must be Stormwing; compulsory Troops must be 20-model Stormwing Tactical or Assault Squads; those compulsory units may not take Dedicated Transports.
da22-rite-vow | Dark Angels Rite of War — The Unbroken Vow | selectionEntry:config-army:Army Configuration > selectionEntryGroup:config-rites:Rite of War (optional) > selectionEntry:da22-rite-vow:Dark Angels Rite of War — The Unbroken Vow
 RULE The Unbroken Vow : Effects: Legion Veteran and Terminator Squads may be Troops and compulsory. A Deathwing unit within 6" of an Objective gains Feel No Pain (6+), or improves existing Feel No Pain one step to max 4+. A Deathwing Independent Character within 12" of an Objective gains +1 Attack. Place an additional Oath Objective as close as possible to battlefield centre. Limitations: Warlord Deathwing; compulsory Troops Veteran/Terminator Deathwing. At battle end enemy gains 150 VP if Dark Angels do not control Oath Objective, or 300 VP if enemy controls it, in missions using Victory Points.
da22-rite-eskaton | Dark Angels Rite of War — The Eskaton Imperative | selectionEntry:config-army:Army Configuration > selectionEntryGroup:config-rites:Rite of War (optional) > selectionEntry:da22-rite-eskaton:Dark Angels Rite of War — The Eskaton Imperative
